Summary,Start Time,End Time,Location
Sistemas de Data Warehouse e Business Intelligence - Data Warehouse and Business Intelligence Systems,Wed Nov 16 09:30:00 WET 2022,Wed Nov 16 11:00:00 WET 2022,"C6.01, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Tue Apr 11 13:00:00 WEST 2023,Tue Apr 11 14:30:00 WEST 2023,"D1.02, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Segurança em Sistemas de Informação - Information Systems Security,Thu Mar 30 11:00:00 WEST 2023,Thu Mar 30 12:30:00 WEST 2023,"D1.01, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Mon Mar 20 13:00:00 WET 2023,Mon Mar 20 14:30:00 WET 2023,"Auditório 0NE02-Caiano Pereira, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Wed Nov 30 16:00:00 WET 2022,Wed Nov 30 17:30:00 WET 2022,"Auditório 0NE02-Caiano Pereira, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Mon Nov 28 13:00:00 WET 2022,Mon Nov 28 14:30:00 WET 2022,"Auditório B1.04, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Thu Mar 23 14:30:00 WET 2023,Thu Mar 23 16:00:00 WET 2023,"C5.01, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Tue Feb 07 14:30:00 WET 2023,Tue Feb 07 16:00:00 WET 2023,"D1.02, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Sistemas de Data Warehouse e Business Intelligence - Data Warehouse and Business Intelligence Systems,Wed Dec 07 09:30:00 WET 2022,Wed Dec 07 11:00:00 WET 2022,"C6.01, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Tue Dec 06 14:30:00 WET 2022,Tue Dec 06 16:00:00 WET 2022,"C5.09, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Tue Oct 18 13:00:00 WEST 2022,Tue Oct 18 14:30:00 WEST 2022,"C4.02, 4, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Mon Nov 28 16:00:00 WET 2022,Mon Nov 28 17:30:00 WET 2022,"Auditório B1.03, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Fri Nov 11 14:30:00 WET 2022,Fri Nov 11 16:00:00 WET 2022,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Mon Mar 27 13:00:00 WEST 2023,Mon Mar 27 14:30:00 WEST 2023,"Auditório 0NE02-Caiano Pereira, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Thu Nov 10 11:00:00 WET 2022,Thu Nov 10 12:30:00 WET 2022,"C7.09, 7, Edifício II (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Mon Mar 06 14:30:00 WET 2023,Mon Mar 06 16:00:00 WET 2023,"Auditório B1.04, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Mon Feb 13 16:00:00 WET 2023,Mon Feb 13 17:30:00 WET 2023,"C6.10, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Fri Feb 17 14:30:00 WET 2023,Fri Feb 17 16:00:00 WET 2023,"C6.10, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Wed Dec 07 14:30:00 WET 2022,Wed Dec 07 16:00:00 WET 2022,"C4.01, 4, Edifício II (ISCTE-IUL), ISCTE-IUL"
Segurança em Sistemas de Informação - Information Systems Security,Tue Feb 28 16:00:00 WET 2023,Tue Feb 28 17:30:00 WET 2023,"Auditório Afonso de Barros, 1, Ala Autónoma (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Mon Feb 13 14:30:00 WET 2023,Mon Feb 13 16:00:00 WET 2023,"Auditório B1.04, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Thu Oct 06 14:30:00 WEST 2022,Thu Oct 06 16:00:00 WEST 2022,"2E10, 2, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Tue Dec 06 16:00:00 WET 2022,Tue Dec 06 17:30:00 WET 2022,"C5.09, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
