Summary,Start Time,End Time,Location
Processamento de Informação - Information Processing,Tue Sep 13 18:00:00 WEST 2022,Tue Sep 13 19:30:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Linguagens de Programação - Programming Language Engineering,Mon Apr 24 09:30:00 WEST 2023,Mon Apr 24 11:00:00 WEST 2023,"D1.07, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Mon Feb 13 21:00:00 WET 2023,Mon Feb 13 22:30:00 WET 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Wed Mar 29 18:00:00 WEST 2023,Wed Mar 29 19:30:00 WEST 2023,"C6.07, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Tue Sep 27 18:00:00 WEST 2022,Tue Sep 27 19:30:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Probabilidades e Processos Estocásticos - Probabilities and stochastic processes,Fri Oct 21 18:00:00 WEST 2022,Fri Oct 21 19:30:00 WEST 2022,"C5.06, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Wed Mar 15 18:00:00 WET 2023,Wed Mar 15 19:30:00 WET 2023,"C6.07, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Tue Oct 25 19:30:00 WEST 2022,Tue Oct 25 21:00:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Fri Nov 11 19:30:00 WET 2022,Fri Nov 11 21:00:00 WET 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Tue May 09 19:30:00 WEST 2023,Tue May 09 21:00:00 WEST 2023,"0S01, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Wed Mar 22 21:00:00 WET 2023,Wed Mar 22 22:30:00 WET 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Linguagens de Programação - Programming Language Engineering,Mon Mar 13 09:30:00 WET 2023,Mon Mar 13 11:00:00 WET 2023,"D1.07, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Mon Feb 27 21:00:00 WET 2023,Mon Feb 27 22:30:00 WET 2023,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Fri Oct 21 21:00:00 WEST 2022,Fri Oct 21 22:30:00 WEST 2022,"C5.08, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
